,Unnamed: 0,Unnamed: 0.1,Atlanta GA,Boise iD,Boston MA,Charlotte NC,Dallas TX,Detroit MI,Los Angeles CA,Nashville TN,Omaha NE,Pittsburgh PN,San Antonio TX,San Diego CA,TeamID,Wichita KS
0,0,0,4792.9344475395965,5474.802361863002,3856.9823237077408,4572.491210325415,5360.978130141554,4360.984118168355,6078.52119039578,4785.731317373948,4914.536399647709,4313.178107116604,5597.655124941356,6119.2350865272065,1437,5140.403921029536
1,1,1,1995.0270117332373,501.2030954855944,2586.9338143806463,2163.0867120808925,1328.090964695639,1975.444532336564,209.88048151512862,1823.6194351340284,1308.4830527061895,2144.142871565293,1327.5681968769786,319.6699927659656,1345,1230.2157693264696
2,2,2,1007.8272781501311,1035.106017829628,1777.1676291476474,1205.8951256274258,300.9762173487994,1188.9169582700533,939.7473580298708,876.3096914637902,621.65480533008,1296.6204879849658,350.49605105874207,886.0151818401791,1403,381.66832201140284
3,3,3,776.1938095771043,1069.186944560882,1424.3799788081003,933.0097684384396,340.2721644904881,821.4915398012881,1196.9821447412562,593.898999750904,257.16128700606356,951.0170301644873,573.687244385724,1170.3719700588806,1455,0.0
4,4,4,381.5471679423584,1866.3819429902953,580.7964099195129,224.02315891883225,978.5639448314512,291.6286945298191,2096.091791125049,363.5674336949145,824.0921145302152,143.15071657693204,1187.3706423812348,2069.578558355041,1452,899.7221918826431
5,5,5,447.9493286470115,2215.7968253284344,1164.6181525538927,515.9808812062064,978.6213294329898,1009.9137377843459,2215.231441246735,657.5139080935184,1240.7590498062605,878.2983886661851,1040.6101422508766,2152.1022185011925,1196,1147.7189900367455
6,6,6,470.62511894594286,1390.790292325161,1251.376009323452,656.1611257374068,300.545988749741,706.225008095941,1467.85781645141,325.8278363013114,458.5834116468287,770.8861730678052,532.5208306574035,1426.0109589794947,1116,321.8080457732
7,7,7,327.3406002310808,1921.7646685347925,611.2159326319543,139.29020480199932,976.3296195794514,380.57190999549795,2125.535000886254,359.944430061575,876.1459214988683,223.49996429311096,1172.560778029888,2094.4262309252513,1439,929.1001802811447
8,8,8,144.83146303272824,1734.2230599769298,1064.1575943610976,368.46320899792,579.4133046163315,659.829891488332,1804.2942050439635,200.15833747480028,745.0526468632852,623.5874081805637,738.0931649082512,1755.8267815362815,1104,666.181684959744
9,9,9,752.2439371038555,1090.1319832404477,1397.0951738020096,906.826772346478,344.90858708620317,794.8317934380605,1224.3868214432016,567.9915407126769,244.8900070866935,923.4897243093491,583.575070386135,1197.9639357420494,1139,27.602885407483743
10,10,10,658.8399323724188,1902.5563744528768,380.8051528074958,489.7096211662573,1190.6678817315235,235.77728880281717,2216.5882903302067,604.0590627859,903.8437069006362,137.58230179007677,1417.6045804859075,2203.3594346586547,1382,1044.7212595750702
11,11,11,768.7343331211387,1818.5813323587226,442.4427973371943,624.3615429549266,1222.3874147400927,222.3301733232521,2175.0333845425366,676.3782580665408,861.1564970633483,261.8599773263047,1460.5153694927237,2169.855527852093,1417,1034.843346064556
12,12,12,297.01076512159653,1545.7180446026666,1001.7153983484756,429.618825222986,550.1954263033599,485.29613382543204,1693.1240280026338,91.26630440822777,520.6979159181712,523.0155863819215,770.22235545309,1658.4059642257748,1293,503.4045807184561
13,13,13,339.87319393038337,1787.4081256702523,658.6505925302524,237.3490370504723,895.491599928007,273.0342881254269,2009.3831569089502,284.7679989098167,743.0006584552498,192.00763544752022,1108.560525026043,1982.5405376553056,1267,812.8203711197747
14,14,14,2140.3964229686844,517.904079231343,2699.3077105438374,2302.3241629614167,1484.2711727993483,2091.4704047516952,348.1069836885158,1963.7095228927367,1429.539725761233,2266.5969793662266,1490.0598141896246,458.9242171255395,1372,1369.8759253003607
15,15,15,1920.8971431999696,678.6615870283701,2586.1619281182843,2104.9098055422633,1222.8263537450762,1972.6412034983366,22.10021211160657,1766.3597282077933,1305.6821555940926,2126.191336253512,1183.6189526287517,91.03223923517344,1168,1183.8287809908456
16,16,16,790.5805437982601,2194.1040316803233,148.32382620178157,573.0753115891873,1421.1896202563132,525.7326352298422,2497.7116238537938,807.505314631145,1189.87603013935,362.4726280107234,1631.0458765967605,2480.270205622853,1254,1313.4610352417812
17,17,17,317.23832617510055,1916.6923036893745,621.4707696408226,132.17030580220353,966.8373600778793,383.3440965404723,2117.8370215518794,350.7397432852315,870.9050220907766,230.46523659015858,1162.5896253048263,2086.3777110811257,1347,921.5994017096493
18,18,18,852.8433596264625,990.3927609211177,1473.9427048391553,1004.8079616665153,392.0658598102918,865.4102932192901,1134.6627231388104,666.7771226061473,249.46746756297145,1005.6714424696095,609.8853235811578,1112.9556021122637,1242,78.87537149680934
19,19,19,348.094621807088,2034.5380055766425,607.7499569283165,121.486626810423,1044.7877322830009,491.5500378545217,2219.8596375434827,440.6444483291586,988.5561846524619,311.9708289601319,1225.1970144543984,2184.8220818262052,1181,1026.7246266126485
20,20,20,681.1442070721641,1571.207729924811,694.9969087689738,614.2486935257623,994.9594405282237,120.42894133204368,1911.527527933071,526.4335029513468,597.5477247097913,326.78479697299906,1241.0220188638568,1906.280386931818,1277,779.4773595971462
21,21,21,97.55482038893113,1824.0375207709524,1033.6067296661688,318.7768515526578,660.5542408199526,681.51980502199,1890.8868208725198,253.47399312712975,828.7907179910515,617.1317522085652,804.3013911143921,1840.8381540293585,1120,756.3089834745903
22,22,22,109.89351131859996,1880.1450552058907,827.7648201976963,119.13485988903587,813.9227046647261,528.7405703848716,2013.6760918909176,244.41302813811592,845.4480584136389,426.7305451314459,986.3571309419698,1972.499454542562,1155,835.62024047501
23,23,23,752.0629919769246,1266.3959561588038,1578.7635916729996,960.7510812861924,31.24152646022411,1023.3181872495315,1209.979665070265,646.5606640843424,591.5585772650602,1098.1418013749264,239.4389324520175,1153.2418680321734,1395,340.4887744686409
24,24,24,891.8049910195831,2246.58233981484,47.81774025841285,674.7433141896244,1513.9933139420127,589.9586820841648,2571.1571528544036,903.0520805900215,1258.5273488477378,446.880870398126,1727.189068379212,2556.92110354326,1348,1394.17302337738
25,25,25,517.8804726512491,2248.281549902055,1250.9049405672688,601.1522724703849,992.2093490209818,1091.0986947958643,2220.728871377315,722.0572928857977,1292.075525060795,963.7315465518576,1032.6511430138871,2153.795415091774,1371,1184.0974534415236
26,26,26,355.7805897700832,2054.4050575985057,609.5219327269981,129.96998072990147,1057.7305457786586,511.41203491031786,2236.6455909799397,456.56871567302,1008.4523493751584,329.50680475023063,1235.3813949063353,2200.9543944230068,1301,1044.325059521218
27,27,27,740.3669377594797,1173.6634042168916,1499.4263715892314,929.7995022445558,152.59615266219055,920.5546638423305,1196.3803734876167,596.7131539951915,440.7596797872703,1018.1118786240448,387.7816550433826,1152.6243097303723,1328,188.76757077675694
28,28,28,1592.9954232155108,735.4937655898854,2300.8402933275365,1783.6107719322506,887.5044273027853,1691.1267540674419,356.55037121597167,1447.4796330021509,1037.1481487922329,1830.6571528298527,848.9351054816814,298.3915431902148,1113,879.899070194137
29,29,29,781.1345521675602,1998.9710481196196,263.2893096297726,595.3268113329929,1326.689394651724,354.9758480544735,2336.5990695864284,738.7360481818762,1021.4438658293187,267.477860643037,1553.8207231913254,2326.5370394477577,1393,1173.9705506358102
30,30,30,1236.7250900490392,829.6402603700321,1953.8902591315682,1425.248266181692,543.9402513764533,1349.1546381253618,701.1806332408585,1089.0083884172213,716.4843165749091,1479.4752609246477,564.9690566205892,656.04113005645,1308,529.5103628319896
31,31,31,1034.0509207359446,1110.7586351475804,1841.5869186577036,1241.8106075781955,313.06935875959726,1264.6689186956723,948.5969912692892,922.02317959293,723.7971706495947,1359.9465692754518,276.67370151324667,883.3494439531871,1158,476.10334876203177
32,32,32,646.232971591406,2004.2432440116736,316.39016065097496,450.59171747948545,1235.2593277463557,333.3461185503074,2299.4249599859922,629.1499291594475,992.628621395097,166.3508614095066,1452.5369497308284,2282.1186365278636,1137,1116.0904554351102
33,33,33,763.9525813103298,2158.9806307932517,172.82981964049304,549.0907481221296,1387.9123990839348,490.062799765757,2461.7243029336128,775.2800752934074,1153.8722636282719,326.9412128577401,1599.2125055269817,2444.405444985191,1233,1277.832359534009
34,34,34,524.0067859307175,1881.194512370159,467.54655869645404,357.95110451103506,1084.5117356011276,225.76519568030832,2155.5502795744674,482.5721305915062,855.7712059361708,19.268338207508112,1303.9475206920295,2135.9837823258804,1335,967.8895989803758
35,35,35,405.84564897508994,2021.4456321722464,535.5948510841475,185.33648290638948,1079.2698905444265,434.65353602717585,2232.2760590017283,464.77331732813656,977.0068185942431,242.37730725536326,1270.236841238142,2201.2795398791222,1438,1035.6956477595138
36,36,36,369.11722638310886,1666.2712676463243,740.1478470102614,335.18157674498184,814.0685112257885,236.72774074786528,1896.6931654235382,237.6353850400356,622.1869757056902,258.5012769399496,1039.4919277154017,1872.630914324231,1153,702.3061660670506
37,37,37,176.19099510662008,1673.1450844855865,934.2638682801531,308.885325311941,635.7178397852888,485.5358467093393,1810.7741939577581,38.49173041810396,645.0797102833161,470.59319941500837,834.9644330951609,1772.753889294676,1397,627.3088178459017
38,38,38,1565.8848568834076,679.1837410672483,2254.351007896894,1751.7459532404682,869.6654222106449,1643.031804527536,371.7477103103371,1413.9789255136347,984.4874453593341,1787.0600751389038,850.766488616802,332.2727418698687,1112,838.1387473430215
39,39,39,267.09071052790233,1674.670496441181,816.6275080392817,289.6471894566312,736.494264006746,347.8071036833242,1864.2437758416318,132.30865511715598,629.9532139568245,341.67204932201844,951.5749823570841,1833.8628693100266,1246,667.7587681728073
40,40,40,604.2498417321958,2363.4260978612206,1255.67702267752,652.3183658083112,1110.6764793212808,1153.9653441276698,2339.055342255537,814.7631342281237,1397.0250611237032,1010.7558011006004,1149.1280426658493,2271.6845546967215,1274,1297.4452907421194
41,41,41,1836.8921322081646,285.01120362018753,2375.3164461444967,1990.497244861962,1210.647019190214,1767.7281686564495,384.36843919683247,1653.5765182008756,1107.3487923217845,1944.108525686277,1253.9219279395943,469.06030272947214,1305,1061.6766728260484
42,42,42,817.7082069636006,1045.9881084485557,1282.2340737978861,918.6857159146874,586.8566732017712,668.7547333409188,1315.3372433107934,606.7786434833165,1.7188322621479326e-12,837.077062555658,828.4213048950995,1308.739520590649,1166,257.16128700606345
43,43,43,852.8433596264625,990.3927609211177,1473.9427048391553,1004.8079616665153,392.0658598102918,865.4102932192901,1134.6627231388104,666.7771226061473,249.46746756297145,1005.6714424696095,609.8853235811578,1112.9556021122637,1243,78.87537149680934
44,44,44,889.4490116926817,1219.7561062284522,1720.9842109574313,1101.2188001702916,172.12817021304804,1160.0409866429102,1097.8588515284214,789.4592704246439,680.6243937255,1240.0217318728792,175.524262934782,1034.0247803610846,1400,423.4947612535229
45,45,45,596.4481353514192,1447.6093406302418,851.2564261696259,594.9528094774869,809.7770660629516,237.5800020263471,1745.3037130865393,405.6054836929727,431.4258808554905,414.50155676163797,1057.7033762598041,1734.8179502351934,1260,593.7429911143346
46,46,46,216.28131665442592,1634.7960501117234,942.5231357294144,340.6264858331254,617.5555500844996,469.44862009602645,1780.0823735317092,2.0005408567147813,605.1056133603568,471.8228730151744,824.6139477113239,1743.7131629153018,1172,592.8411367822238
47,47,47,697.3944832855744,1867.9708613721145,400.0730098872737,538.7986721927058,1198.7321305373077,216.20224948714375,2197.871555967063,626.4526540393442,882.8557569213966,178.17494831919623,1430.4167909327325,2187.6532909374178,1138,1036.4274754575374
48,48,48,936.9190379644372,1102.6467295538548,1158.2031977483075,972.6263154193668,866.8617059825868,578.5365817772054,1496.169853244348,725.4249201986673,286.4267475569288,780.4511824400477,1112.2748414079983,1506.9601121668795,1460,543.4759692405295
49,49,49,0.25445502000549264,1835.8509638826836,936.5455415023494,226.36500627015417,721.2286343531332,597.4370903189608,1936.9682075892968,214.50860239160244,817.8374279173653,521.4848376368043,882.9286906981059,1891.618665907927,1209,776.3857629601446
50,50,50,571.1457227944878,2052.8368741741237,365.7185760949539,359.0279924133481,1206.9495979072035,394.8745626614391,2314.442858925142,590.5337411550546,1023.2793820552687,191.61053208597963,1412.3096173860583,2291.2024739223525,1420,1120.8928546648751
51,51,51,697.8886548601571,1141.8317025824026,1263.9003070077833,823.0874420150201,460.4876843082829,655.8585803292005,1341.0999398403317,494.4702282862385,147.12825427280072,797.0651348442677,709.2144540544689,1322.06669289182,1462,171.1149609553172
52,52,52,332.1395489962443,2037.7101673553482,629.6666538040243,106.29659847278778,1034.580115016962,508.5742092929642,2215.5360377914135,435.00111497287486,991.9374988241563,332.70872115885646,1211.7283531751566,2179.331216604193,1314,1024.0730285218003
53,53,53,681.1442070721641,1571.207729924811,694.9969087689738,614.2486935257623,994.9594405282237,120.42894133204368,1911.527527933071,526.4335029513468,597.5477247097913,326.78479697299906,1241.0220188638568,1906.280386931818,1276,779.4773595971462
54,54,54,4860.319225887233,5521.20647087981,3924.036408076642,4640.350533111231,5424.017390695625,4424.2063338219095,6129.041023392947,4851.096606700885,4973.236163848898,4378.60875063241,5661.56822999335,6171.185520551447,1211,5200.573749723929
55,55,55,456.381332542615,1731.2471424669814,622.3564861698999,359.20022389546403,936.6369251303847,147.77789946273464,1994.5399339090534,357.6887164180456,698.3363669831787,143.9445878700771,1163.6797374273044,1974.8212174908945,1326,807.0920270914597
56,56,56,701.79668870445,1492.939628392657,1605.5001495388985,926.8890450259657,224.41405176595237,1105.8741676333873,1373.635582650385,665.7491874144401,793.4628347336053,1138.2087073578573,189.66169181561312,1303.786155876307,1222,558.3742229216092
57,57,57,728.4029559144283,1417.240853693849,1612.7558121774375,950.3250282722638,156.68955205875187,1093.3286440049112,1307.270517004629,669.8190317659964,738.3996712491095,1139.5771963917198,155.73334276440406,1240.0712609509192,1401,496.1249854833126
58,58,58,571.9849168688629,1272.1846918217293,1155.1500219240054,691.841403668454,476.135537415049,557.7100299306425,1462.537152192022,365.03396337178407,248.5388815566653,680.9794598896397,727.4519558482102,1439.116455626264,1281,270.0473755295391
59,59,59,447.9493286470115,2215.7968253284344,1164.6181525538927,515.9808812062064,978.6213294329898,1009.9137377843459,2215.231441246735,657.5139080935184,1240.7590498062605,878.2983886661851,1040.6101422508766,2152.1022185011925,1199,1147.7189900367455
60,60,60,900.8457295541582,2255.0967971716163,41.241599188435515,683.4353362316723,1523.7736905673646,599.2539791042233,2580.6366754976975,912.7408629841565,1267.8746711578292,456.68834170635097,1736.8656519840754,2566.5076821336097,1344,1403.8878067662624
61,61,61,1891.3860593593317,753.5476689682549,2584.088395871357,2081.2231911279086,1184.1611322357633,1971.7130846984835,111.38826601346325,1744.388424776339,1308.739520590647,2118.6263197650396,1128.3871160838123,1.478705462149909e-12,1361,1170.3719700588792
62,62,62,1231.6187855077687,641.9261895128492,1628.2303596066627,1334.6990997863911,837.1831498418566,1030.6052250377097,1041.3929979432344,1022.7101100972116,417.07355875052895,1220.100199934676,1024.6456518190523,1066.1405345081112,1355,524.8919111634996
63,63,63,305.0625452487073,1987.0205961192823,639.0838931343244,81.85340646807062,995.0041564136342,467.25750238806535,2168.8879462244463,389.6260811850648,941.18839373887,302.04775739723897,1177.84094663286,2133.782171501778,1422,976.0469282556986
64,64,64,1615.6889956135167,410.79277585823144,1905.5890523247128,1702.827303165874,1212.100873973136,1343.5179070446804,1022.6580089588165,1403.9200228717677,798.0388393911072,1545.1755241937012,1374.6900450693145,1085.8718223113185,1285,914.8948941256339
65,65,65,147.99142090556438,1723.272974645838,1060.9858385691991,369.29900665907024,574.0287085262369,650.5486478648999,1796.6983847932415,188.83821500807701,732.6236831216831,617.5842739367422,736.380396756035,1748.8458041321458,1252,655.5771504940838
66,66,66,348.094621807088,2034.5380055766425,607.7499569283165,121.486626810423,1044.7877322830009,491.5500378545217,2219.8596375434827,440.6444483291586,988.5561846524619,311.9708289601319,1225.1970144543984,2184.8220818262052,1300,1026.7246266126485
67,67,67,1034.0509207359446,1110.7586351475804,1841.5869186577033,1241.8106075781955,313.06935875959726,1264.6689186956723,948.5969912692891,922.0231795929299,723.7971706495948,1359.9465692754518,276.67370151324667,883.3494439531871,1411,476.1033487620318
